神社名稱,住所,URL,緯度,経度,電話番号
稲荷神社（いなりじんじゃ）,福井県あわら市市姫4-16-2,http://www.jinja-fukui.jp/detail/index.php?ID=20250509_161426,36.20769929588053,136.23337561493145,-
白山神社（はくさんじんじゃ）,福井県大野市堂本１２−５−２５,http://www.jinja-fukui.jp/detail/index.php?ID=20200828_160358,35.995499,136.509831,-
神子神社（みこじんじゃ）,福井県三方上中郡若狭町神子１−１,http://www.jinja-fukui.jp/detail/index.php?ID=20200819_132955,35.623368,135.838549,-
西廼神社（にしのじんじゃ）,福井県南条郡南越前町西大道１４−２５,http://www.jinja-fukui.jp/detail/index.php?ID=20200806_153230,35.833258,136.190589,-
八幡神社（はちまんじんじゃ）,福井県福井市北山新保町２７−４１,http://www.jinja-fukui.jp/detail/index.php?ID=20190729_114853,36.003748,136.239611,-
石按比古比賣神社（いわくらひこひめじんじゃ）,福井県三方上中郡若狭町小原２３−４１，４２,http://www.jinja-fukui.jp/detail/index.php?ID=20170919_085322,35.498247,135.878046,-
神明神社（しんめいじんじゃ）,福井県吉田郡永平寺町栗住波２３−１７,http://www.jinja-fukui.jp/detail/index.php?ID=20170614_173153,36.072619,136.395224,-
国見岳大日神社（くにみだけだいにちじんじゃ）,福井県福井市国見元町１８−３−７,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_094609,36.078239,136.074488,-
春日野神社（かすがのじんじゃ）,福井県越前市春日野町３１−８,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_093229,35.857646,136.148019,-
白山神社（はくさんじんじゃ）,福井県大野市後野１１−１３,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_092700,35.925746,136.689440,-
総社穴馬神社（そうしゃあなまじんじゃ）,福井県大野市野尻５４−１−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_092454,35.879397,136.696631,-
白山神社（はくさんじんじゃ）,福井県大野市下山４７−２６,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_092134,35.918032,136.639513,-
白山神社（はくさんじんじゃ）,福井県大野市上大納３０−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_091942,35.888002,136.621385,-
熊野神社（くまのじんじゃ）,福井県大野市朝日１７−２,http://www.jinja-fukui.jp/detail/index.php?ID=20170118_085831,35.906336,136.667518,-
日本武神社（やまとたけるじんじゃ）,福井県福井市椙谷町２８−５６,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_172105,35.989560,136.374628,-
白山神社（はくさんじんじゃ）,福井県福井市獺ケ口町４−１２,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_171353,36.018749,136.356210,-
白山神社（はくさんじんじゃ）,福井県福井市宇坂大谷町２８−１，２,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_170954,36.036283,136.332326,-
熊野神社（くまのじんじゃ）,福井県福井市福島町７−３６,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_170624,36.021786,136.336167,-
加茂神社（かもじんじゃ）,福井県福井市高田町４７−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_170315,36.024747,136.321175,-
八幡神社（はちまんじんじゃ）,福井県福井市田尻町５−３,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_165809,36.019830,136.321742,-
八幡神社（はちまんじんじゃ）,福井県福井市蔵作町４６−１,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_165157,35.987992,136.357874,-
簸川神社（ひかわじんじゃ）,福井県福井市小宇坂島町１０−１５,http://www.jinja-fukui.jp/detail/index.php?ID=20170117_164520,35.989303,136.363553,-
